Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
4/9/22,15:30,4/9/22,17:30,,,"Ortega (Ortega if only hosting one game )",,"611 Inverness Way, Sunnyvale, CA 94087",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
4/9/22,21:00,4/9/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12MH1,,MH1,TRUE,,,,,,,,,
4/9/22,21:00,4/9/22,23:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12EAST2,,EAST2,TRUE,,,,,,,,,
4/14/22,17:30,4/14/22,19:30,,,"Bagby Elementary, Field 1",,"1840 Harris Avenue San Jose 95124",,Game,,12CGFS2,,0,12CGFS2,,CGFS2,TRUE,,,,,,,,,
4/14/22,17:30,4/14/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS1,,1,12WVS5,,WVS5,TRUE,,,,,,,,,
4/14/22,17:30,4/14/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12CGFS3,,,,,,,,,,,,
4/16/22,14:00,4/16/22,16:00,,,"Alta Vista Field A",,"200 Blossom valley Dr. Los Gatos, CA 95032",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
4/16/22,17:30,4/16/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS1,,1,12CGFS4,,,,,,,,,,,,
4/16/22,21:00,4/16/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12BHS2,,BHS2,TRUE,,,,,,,,,
4/21/22,17:30,4/21/22,19:30,,,"Alta Vista Field A",,"200 Blossom valley Dr. Los Gatos, CA 95032",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
4/21/22,17:30,4/21/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12MILP2,,MILP2,TRUE,,,,,,,,,
4/21/22,17:30,4/21/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS3,,1,12CGFS2,,,,,,,,,,,,
4/23/22,14:45,4/23/22,16:45,,,"Bagby Elementary, Field 3",,"1840 Harris Avenue San Jose 95124",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
4/23/22,13:00,4/23/22,15:00,,,"Foothill Main",,"13919 Lynde Ave, Saratoga, CA 95070",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
4/23/22,21:00,4/23/22,23:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12AVGSL2,,AVGSL2,TRUE,,,,,,,,,
4/23/22,21:00,4/23/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12WVS2,,WVS2,TRUE,,,,,,,,,
4/28/22,17:30,4/28/22,19:30,,,"Bagby Elementary, Field 4",,"1840 Harris Avenue San Jose 95124",,Game,,12CGFS4,,0,12CGFS4,,CGFS4,TRUE,,,,,,,,,
4/28/22,17:30,4/28/22,19:30,,,"MVRC-A (Field closest to the snack shack and parking lot off Voss Ave.)",,"22601 Voss Ave, Cupertino, CA 95014",,Game,,12CGFS2,,0,12CGFS2,,CGFS2,TRUE,,,,,,,,,
4/28/22,17:30,4/28/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS3,,1,12CGFS1,,,,,,,,,,,,
4/30/22,13:00,4/30/22,15:00,,,"Central Park Field 1 (Saturdays Only - We scheduled our internal games on weeknights so Saturdays can strictly be interleague.  We can't host on Saturday, March 26 and Saturday, April 2 due to a high school tournament being hosted on our fields)",,"2625 Patricia Drive\nSanta Clara, CA 95051",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
4/30/22,22:00,5/1/22,0:00,,,"Dixon Major",,"Milmont Dr & Jurgens Dr, 1313 N Milpitas Blvd #159, Milpitas, CA 95035",,Game,,12CGFS2,,0,12CGFS2,,CGFS2,TRUE,,,,,,,,,
4/30/22,21:00,4/30/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12LGCS1,,LGCS1,TRUE,,,,,,,,,
4/30/22,21:00,4/30/22,23:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS3,,1,12EAST2,,EAST2,TRUE,,,,,,,,,
5/5/22,18:00,5/5/22,20:00,,,"Dove Hill Park (Dove HIll Park has no street number, but it's a small street. Also, very few bleachers and no snack shack. Bring camping chairs and snacks.)",,"Ravens Place Way, SJ, 95121",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
5/5/22,17:30,5/5/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS3,,1,12WVS3,,WVS3,TRUE,,,,,,,,,
5/5/22,17:30,5/5/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12CGFS4,,,,,,,,,,,,
5/7/22,14:45,5/7/22,16:45,,,"Bagby Elementary, Field 3",,"1840 Harris Avenue San Jose 95124",,Game,,12CGFS1,,0,12CGFS1,,CGFS1,TRUE,,,,,,,,,
5/7/22,21:00,5/7/22,23:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS2,,1,12WVS4,,WVS4,TRUE,,,,,,,,,
5/7/22,21:00,5/7/22,23:00,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,12CGFS4,,1,12BHS1,,BHS1,TRUE,,,,,,,,,
5/7/22,23:00,5/8/22,1:00,,,"Vista Park Field 1",,"473 Hyde Park Dr., San Jose, CA",,Game,,12CGFS3,,0,12CGFS3,,CGFS3,TRUE,,,,,,,,,
3/5/22,12:30,3/5/22,14:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10CGFS2,,,,,,,,,,,,
3/5/22,12:30,3/5/22,14:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10SCPAL1,,SCPAL1,TRUE,,,,,,,,,
3/12/22,22:00,3/13/22,0:00,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10CGFS3,,,,,,,,,,,,
3/12/22,23:00,3/13/22,1:00,,,"Dixon Minor",,"Milmont Dr & Jurgens Dr, 1313 N Milpitas Blvd #159, Milpitas, CA 95035",,Game,,10CGFS2,,0,10CGFS2,,CGFS2,TRUE,,,,,,,,,
3/16/22,17:30,3/16/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10LGCS1,,LGCS1,TRUE,,,,,,,,,
3/16/22,17:30,3/16/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10EV1,,EV1,TRUE,,,,,,,,,
3/16/22,18:00,3/16/22,20:00,,,Gill,,"Santa Rita Dr & Paseo Refugio, Milpitas, CA 95035",,Game,,10CGFS3,,0,10CGFS3,,CGFS3,TRUE,,,,,,,,,
3/19/22,12:00,3/19/22,14:00,,,"Alta Vista Field A",,"200 Blossom valley Dr. Los Gatos, CA 95032",,Game,,10CGFS2,,0,10CGFS2,,CGFS2,TRUE,,,,,,,,,
3/19/22,13:00,3/19/22,15:00,,,"Ortega (Ortega if only hosting one game )",,"611 Inverness Way, Sunnyvale, CA 94087",,Game,,10CGFS3,,0,10CGFS3,,CGFS3,TRUE,,,,,,,,,
3/19/22,13:30,3/19/22,15:30,,,"Bagby Elementary, Field 1",,"1840 Harris Avenue San Jose 95124",,Game,,10CGFS1,,0,10CGFS1,,CGFS1,TRUE,,,,,,,,,
3/23/22,17:30,3/23/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10MIL2,,MIL2,TRUE,,,,,,,,,
3/23/22,17:30,3/23/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10CGFS2,,,,,,,,,,,,
3/26/22,23:30,3/27/22,1:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10ASLL2,,ASLL2,TRUE,,,,,,,,,
3/26/22,23:00,3/27/22,1:00,,,"Foothill Main",,"13919 Lynde Ave, Saratoga, CA 95070",,Game,,10CGFS3,,0,10CGFS3,,CGFS3,TRUE,,,,,,,,,
3/26/22,15:00,3/26/22,17:00,,,"Bagby Elementary, Field 3",,"1840 Harris Avenue San Jose 95124",,Game,,10CGFS1,,0,10CGFS1,,CGFS1,TRUE,,,,,,,,,
3/30/22,17:30,3/30/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10MIL4,,MIL4,TRUE,,,,,,,,,
3/30/22,17:30,3/30/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10MIL1,,MIL1,TRUE,,,,,,,,,
3/30/22,17:30,3/30/22,19:30,,,"Las Palmas",,"850 Russett Drive, Sunnyvale, CA 94087",,Game,,10CGFS1,,0,10CGFS1,,CGFS1,TRUE,,,,,,,,,
4/2/22,23:30,4/3/22,1:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10BHGS3,,BHGS3,TRUE,,,,,,,,,
4/2/22,13:30,4/2/22,15:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10BHGS1,,BHGS1,TRUE,,,,,,,,,
4/2/22,21:00,4/2/22,23:00,,,"Foothill Main",,"13919 Lynde Ave, Saratoga, CA 95070",,Game,,10CGFS2,,0,10CGFS2,,CGFS2,TRUE,,,,,,,,,
4/6/22,17:30,4/6/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10SGSL1,,SGSL1,TRUE,,,,,,,,,
4/6/22,17:30,4/6/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10CGFS3,,,,,,,,,,,,
4/9/22,23:30,4/10/22,1:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10EV2,,EV2,TRUE,,,,,,,,,
4/9/22,13:00,4/9/22,15:00,,,"Ortega (Ortega if only hosting one game )",,"611 Inverness Way, Sunnyvale, CA 94087",,Game,,10CGFS3,,0,10CGFS3,,CGFS3,TRUE,,,,,,,,,
4/9/22,23:00,4/10/22,1:00,,,"Vista Park Field 1",,"473 Hyde Park Dr., San Jose, CA",,Game,,10CGFS1,,0,10CGFS1,,CGFS1,TRUE,,,,,,,,,
4/13/22,17:30,4/13/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10CGFS1,,,,,,,,,,,,
4/13/22,17:30,4/13/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10EV1,,EV1,TRUE,,,,,,,,,
4/16/22,12:00,4/16/22,14:00,,,"Alta Vista Field A",,"200 Blossom valley Dr. Los Gatos, CA 95032",,Game,,10CGFS1,,0,10CGFS1,,CGFS1,TRUE,,,,,,,,,
4/16/22,23:30,4/17/22,1:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10WVS4,,WVS4,TRUE,,,,,,,,,
4/16/22,15:00,4/16/22,17:00,,,"Bagby Elementary, Field 3",,"1840 Harris Avenue San Jose 95124",,Game,,10CGFS2,,0,10CGFS2,,CGFS2,TRUE,,,,,,,,,
4/20/22,17:30,4/20/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10LGCS2,,LGCS2,TRUE,,,,,,,,,
